date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:06:56	45/45	---MCZ	200	added ('OK')	text/plain	etag:W/%2219-535f97c887600%22	https://promo-theme.com/robots.txt		(from )
10:06:57	26960/26960	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Aug%202020%2003:06:59%20GMT	https://promo-theme.com/somo/coming-soon/	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/coming-soon/index.html	(from )
10:06:57	2913/2913	---MCZ	200	added ('OK')	text/css	etag:W/%225df376f4-b61%22	https://promo-theme.com/somo/wp-admin/css/color-picker.min.css?ver=5.3.4	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-admin/css/color-picker.min03ec.css	(from https://promo-theme.com/somo/coming-soon/)
10:06:57	41045/41045	---MCZ	200	added ('OK')	text/css	etag:W/%225ee17a85-a055%22	https://promo-theme.com/somo/wp-includes/css/dist/block-library/style.min.css?ver=5.3.4	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-includes/css/dist/block-library/style.min03ec.css	(from https://promo-theme.com/somo/coming-soon/)
10:06:57	30440/30440	---MCZ	200	added ('OK')	text/css	etag:W/%225dd6737c-76e8%22	https://promo-theme.com/somo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.4.5	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style747d.css	(from https://promo-theme.com/somo/coming-soon/)
10:06:58	1685/1685	---MCZ	200	added ('OK')	text/css	etag:W/%225dd67354-695%22	https://promo-theme.com/somo/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.5	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/plugins/contact-form-7/includes/css/stylesc6ac.css	(from https://promo-theme.com/somo/coming-soon/)
10:06:58	30611/30611	---MCZ	200	added ('OK')	text/css	etag:W/%225dd67371-7793%22	https://promo-theme.com/somo/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min.css?ver=6.0.5	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/plugins/js_composer/assets/lib/bower/font-awesome/css/font-awesome.min52c7.css	(from https://promo-theme.com/somo/coming-soon/)
10:06:58	49659/49659	---MCZ	200	added ('OK')	text/css	etag:W/%225dd2a292-c1fb%22	https://promo-theme.com/somo/wp-content/themes/somo/css/iconfont.css?ver=5.3.4	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/themes/somo/css/iconfont03ec.css	(from https://promo-theme.com/somo/coming-soon/)
10:06:58	55273/55273	---MCZ	200	added ('OK')	text/css	etag:W/%225caad676-d7e9%22	https://promo-theme.com/somo/wp-content/themes/somo/css/fontawesome.min.css?ver=5.3.4	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/themes/somo/css/fontawesome.min03ec.css	(from https://promo-theme.com/somo/coming-soon/)
10:06:58	538/538	---MCZ	200	added ('OK')	text/css	etag:W/%225de79bf0-21a%22	https://promo-theme.com/somo/wp-content/themes/somo/style.css?ver=5.3.4	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/themes/somo/style03ec.css	(from https://promo-theme.com/somo/coming-soon/)
10:06:59	6236/6236	---MCZ	200	added ('OK')	text/css	etag:W/%225e26b8ca-185c%22	https://promo-theme.com/somo/wp-content/plugins/pt-somo-addons/assets/css/swiper.css?ver=4.5.0	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/plugins/pt-somo-addons/assets/css/swiper268f.css	(from https://promo-theme.com/somo/coming-soon/)
10:06:59	232746/232746	---MCZ	200	added ('OK')	text/css	etag:W/%225de8a072-38d2a%22	https://promo-theme.com/somo/wp-content/themes/somo/css/main.css?ver=5.3.4	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/themes/somo/css/main03ec.css	(from https://promo-theme.com/somo/coming-soon/)
10:07:00	115085/115085	---MCZ	200	added ('OK')	text/css	etag:W/%225dd7af9a-1c18d%22	https://promo-theme.com/somo/wp-content/themes/somo/css/woocommerce.css?ver=5.3.4	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/themes/somo/css/woocommerce03ec.css	(from https://promo-theme.com/somo/coming-soon/)
10:07:00	14774/14774	---MCZ	200	added ('OK')	text/css	etag:W/%225dd297e8-39b6%22	https://promo-theme.com/somo/wp-content/themes/somo/css/woocommerce-layout.css?ver=5.3.4	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/themes/somo/css/woocommerce-layout03ec.css	(from https://promo-theme.com/somo/coming-soon/)
10:07:02	20907/20907	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Aug%202020%2003:07:05%20GMT	http://use.typekit.net/djm2xvx.css?ver=1	D:/httrack/comingsoon/comingsoon/use.typekit.net/djm2xvx68b3.css	(from https://promo-theme.com/somo/coming-soon/)
10:07:02	4328/4328	---MCZ	200	added ('OK')	text/css	etag:W/%225dd29706-10e8%22	https://promo-theme.com/somo/wp-content/themes/somo/css/select2.css?ver=5.3.4	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/themes/somo/css/select203ec.css	(from https://promo-theme.com/somo/coming-soon/)
10:07:03	16737/16737	---MCZ	200	added ('OK')	text/css	etag:W/%225e26b8ca-4161%22	https://promo-theme.com/somo/wp-content/plugins/pt-somo-addons/assets/css/photoswipe.css	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/plugins/pt-somo-addons/assets/css/photoswipe.css	(from https://promo-theme.com/somo/coming-soon/)
10:07:03	103235/103235	---MCZ	200	added ('OK')	text/css	etag:W/%225e26b8ca-19343%22	https://promo-theme.com/somo/wp-content/plugins/pt-somo-addons/assets/css/pt-addons.css?ver=5.3.4	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/plugins/pt-somo-addons/assets/css/pt-addons03ec.css	(from https://promo-theme.com/somo/coming-soon/)
10:07:04	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cdeeaa5-17a69%22	https://promo-theme.com/somo/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-includes/js/jquery/jquery4a5f.js	(from https://promo-theme.com/somo/coming-soon/)
10:07:04	10056/10056	---MCZ	200	added ('OK')	application/javascript	etag:W/%22573eaa90-2748%22	https://promo-theme.com/somo/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-includes/js/jquery/jquery-migrate.min330a.js	(from https://promo-theme.com/somo/coming-soon/)
10:07:04	9566/9566	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd6737c-255e%22	https://promo-theme.com/somo/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from https://promo-theme.com/somo/coming-soon/)
10:07:04	2750/2750	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd6737c-abe%22	https://promo-theme.com/somo/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=3.8.0	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min9e95.js	(from https://promo-theme.com/somo/coming-soon/)
10:07:04	992/992	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dd67371-3e0%22	https://promo-theme.com/somo/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart.js?ver=6.0.5	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart52c7.js	(from https://promo-theme.com/somo/coming-soon/)
10:07:05	899/899	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e26b8ca-383%22	https://promo-theme.com/somo/wp-content/plugins/pt-somo-addons/assets/js/zilla-likes.js?ver=5.3.4	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/plugins/pt-somo-addons/assets/js/zilla-likes03ec.js	(from https://promo-theme.com/somo/coming-soon/)
10:07:05	1941/1941	---M--	200	added ('OK')	image/png	etag:%225dd67532-795%22	https://promo-theme.com/somo/wp-content/uploads/2019/11/cropped-favicon-70x70.png	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/uploads/2019/11/cropped-favicon-70x70.png	(from https://promo-theme.com/somo/coming-soon/)
10:07:05	15733/15733	---M--	200	added ('OK')	image/png	etag:%225dd67532-3d75%22	https://promo-theme.com/somo/wp-content/uploads/2019/11/cropped-favicon-300x300.png	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/uploads/2019/11/cropped-favicon-300x300.png	(from https://promo-theme.com/somo/coming-soon/)
10:07:06	795/795	---M--	200	added ('OK')	image/png	etag:%225dd67461-31b%22	https://promo-theme.com/somo/wp-content/uploads/2019/11/logo-light.png	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/uploads/2019/11/logo-light.png	(from https://promo-theme.com/somo/coming-soon/)
10:07:06	795/795	---M--	200	added ('OK')	image/png	etag:%225dd67461-31b%22	https://promo-theme.com/somo/wp-content/uploads/2019/11/logo-dark.png	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/uploads/2019/11/logo-dark.png	(from https://promo-theme.com/somo/coming-soon/)
10:07:07	28921/28921	---M--	200	added ('OK')	image/jpeg	etag:%225dd67461-70f9%22	https://promo-theme.com/somo/wp-content/uploads/2019/11/widget-img.jpg	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/uploads/2019/11/widget-img.jpg	(from https://promo-theme.com/somo/coming-soon/)
10:07:07	3911/3911	---M--	200	added ('OK')	image/jpeg	etag:%225dd67532-f47%22	https://promo-theme.com/somo/wp-content/uploads/2019/11/photo25-150x150.jpg	D:/httrack/comingsoon/comingsoon/promo-theme.com/somo/wp-content/uploads/2019/11/photo25-150x150.jpg	(from https://promo-theme.com/somo/coming-soon/)
